Versioning,Question,Why / Details,Example / Notes,Priority,Answer,Notes,Open/Closed,,,,,,
Authentication,What is the expected Authorization header format? Is it 'Authorization: Bearer <token>'?,OpenAPI securitySchemes declares an apiKey named 'JWT Authorization' — ambiguous and nonstandard.,Clarify header name and scheme; supply sample curl with header,High,The authorization header indeed should be 'Authorization: Bearer <token>'. We have a document (97-0007798) that I will ensure is attached with these answers,Document 97-0007798 is being approved and released shortly,Open,,,,,,Open
API Discovery,Who is the owner / point of contact for the API and where will updates be posted?,"Who to contact, where to look for documentations, new versions, breaking changes.",,High,"That will be me (Szymon Zieba), as the owner of the API.",,Closed,,,,,,Closed
API Discovery & Versioning,Is there a canonical base URL and separate staging/sandbox endpoints?,"Required to configure CI, tests, and polling targets.",e.g. api-staging.example.com,High,"Unfortunately,  we do not host staging endpoints for our system.",,Closed,,,,,,
Arrays & Nested,"Which result fields are arrays/objects that must be JSON-encoded into a CSV cell (e.g., values, details)?",User requested arrays encoded - confirm which,,High,"I am not sure I correctly understand the question, but measurements are under the parameter set field of a TimeSeries response. Each parameter set will have differing number of measurements due to differing subsystems",,Closed,,,,,,
Arrays & Nested,"Structure of 'values' array: names and types of elements (timestamp, value, type, quality?)?",Needed to choose columns or JSON cell,,High,"values field will generally hold either a boolean or a number value. While we support arrays and strings for value, no subsystem used in SETL will emit these",,,,,,,,
Authentication,What is token lifetime and refresh strategy? Can we get a permanent token with no expiry?,Affects caching and refresh logic,"e.g. access_token expires 15m, refresh_token 30d, Never expires",High,"Current PSS requirements that we are beholden to do not allow permenant tokens. The access_token is configured to expire after 5 minutes, I cannot find a refresh_token expiry time, but there is a session idle time of 30minutes",,,,,,,,
Authentication,"Where is the Keycloak instance running (hostname, realm, client) and how to obtain client credentials? (client id / secret)",Needed to request JWTs and configure automated pulls,"e.g. auth.example.com, realm: vems, client_id: southeatern, client_secret: <secret>",High,"The Keycloak instance is hosted on the same PCE as the DMS UI, and can be accessed using the same base url `/auth`.",,,,,,,,
Authentication,"Are there audience/claim requirements in JWTs (scope, roles, issuer)?","If server validates specific claims, need to craft requests accordingly","Require 'aud': 'dms-api', scope: 'dms.read'",High,"You will get your JWT from Keycloak, so this is not something you need to be concerned with.",,,,,,,,
Authentication,What grant types are allowed for machine-to-machine access?,Impacts implementation (client_credentials vs. auth code),Recommend client_credentials for service,High,"For auth, we operate on a process where a system authenticates with client credentials for the initial login, then future requests are managed using JWT.",,,,,,,,
Authentication - Access,Which endpoints require elevated roles (dms_admin) vs standard (dms_user)?,Plan least-privilege service token,,High,See earlier response,,,,,,,,
Change Tracking,Are there 'modified' or 'created' fields for results to incremental-pull instead of full snapshot?,Enables incremental sync,,High,"There are modified and created fields on results, although typically they will be found to be equal, as most results are written only once.",,,,,,,,
Consistency & Dupes,Can the same result be returned multiple times across different queries/polls?,Need dedupe logic (id + timestamp),,Med,"This will depend on the structure of the request, but it is possible. Depending on how bounds are written, this can be avoided without special handling",,,,,,,,
Contracts,Is there a formal API contract (machine-readable) delivered and maintained (OpenAPI hosted)?,Helps codegen and CI checks,,High,The OpenAPI Spec provided should be able to output the underlying json. This json code can then be fed into an OpenAPI code generator for directly relevant client code.,,,,,,,,
CSV Columns,"If we hardcode CSV headers, confirm canonical column list per component_category (e.g., GuideTyre): which fields are required?","Can we hardcode headers, can we get canonical list",,High,"CSVs are available only through the UI. There may be an API endpoint claiming to supply CSVs in the spec, but this endpoint is not functional and should be disregarded.",,,,,,,,
Data Quality,"Are there quality/flag fields in results (e.g. status, confidence) and allowed ranges?",Important for filtering/alerts,,High,"All parameter sets come with a status and a confidence field. Status should be ""OK"" if there is no issue with a measurement. Confidence is more difficult to explain as it is based on a range of factors and cannot be easily boiled down to a rubric like ""+- 0.5mm"".",,,,,,,,
Data Volume,How many images are taken for the measurements?,Typical total size of images taken per train pass (MBytes / GBytes),,High,"VIS will take approx. 5000 images, but most other systems will take 1-4 images per measurable component. As such, VIS may require 1.5 GB, but other systems may only use 15 MB for their reporting requirements.",,,,,,,,
Data Volume,Expected data rates per subsystem (results/sec),Typical payload size impacts storage and processing,,High,"Results are typically reported in one go to our DMS, after the offline time of a pass",,,,,,,,
Encoding,Character encoding for CSV and JSON (UTF-8 expected?),Avoid importing and encoding problems,,High,"As we have not specified a specific encoding, I would suggest UTF-8, but will confirm.",,,,,,,,
Error Handling,"Are transient errors retryable, and which HTTP codes indicate retry vs fail if any?","Help to implement robust retry/backoff. Help to implement retry strategy that avoids hammering the API, handles transient failures, respects server signals, and prevents synchronized retry storms.","E.g. retry only on transient errors: 429, 502, 503, 504, timeout/network glitches. Do NOT retry 4xx client errors (400,401,403,404) except 429. if Retry-After header present, wait that long (seconds or HTTP-date). ",High,"Suggested guidelines seem valid. Note that 5xx errors may be a proxy issue and require us to logon and restart the proxy. The data will still be available, however.",,,,,,,,
Events / Alerts,Are alerts delivered to /alerts endpoint or are those POST-only for ingestion?,OpenAPI shows /alerts POST - need direction/usage. Is there a GET endpoint?,,High,"Alerts endpoint is deprecated, having never been used for its intended purpose. It was only developed to ingest data, but the source of the data will never send it to the DMS.",,,,,,,,
Events / Alerts,"Define 'events', 'alerts', 'notifications': semantics, relationships, lifecycle, retention?",We need to map these with our business logic and business events / alerts / notifications,,High,"events' are events within the scope of system operation, we primarily use them as part of system health monitoring
'notifications' are references to notable events (indicating whether they were newly raised or resolved) or alarm detection (if one or more alarms were detected within a pass)
'alerts' should be ignored, as they are a deprecated feature.",,,,,,,,
Events / Alerts,Do alerts reference result ids or pass ids? Field mapping required.,To correlate alerts with measurements,,High,See above,,,,,,,,
Examples,Provide full example payloads for /results/timeseries/search request and response including values/details arrays that are not there in the spec already,We need exact JSON / CVS to validate client,,High,Samples for each subsystem present will be provided alongside this answer sheet,,,,,,,,
Field Types,"Exact types and nullable behavior for each top-level 'result' field (string,int,float,bool,array)",Needed for CSV typing and nullable handling,,High,The specification should already state the types of fields and which are nullable.,,,,,,,,
IDs & Keys,Are ids stable unique ids across time (id vs component_id vs pass_pass_id)?,To use as primary keys when merging datasets,,High,"Yes, most ids are flake ids, with the exception of pass_pass_id which will be a UUID, repetition, while technically possible, is highly unlikely",,,,,,,,
