Versioning,Question,Why / Details,Example / Notes,Priority,Possible answer
Authentication,What is the expected Authorization header format? Is it 'Authorization: Bearer <token>'?,OpenAPI securitySchemes declares an apiKey named 'JWT Authorization' — ambiguous and nonstandard.,Clarify header name and scheme; supply sample curl with header,High,
API Discovery,Who is the owner / point of contact for the API and where will updates be posted?,"Who to contact, where to look for documentations, new versions, breaking changes.",,High,
API Discovery & Versioning,Is there a canonical base URL and separate staging/sandbox endpoints?,"Required to configure CI, tests, and polling targets.",e.g. api-staging.example.com,High,
Arrays & Nested,"Which result fields are arrays/objects that must be JSON-encoded into a CSV cell (e.g., values, details)?",User requested arrays encoded - confirm which,,High,
Arrays & Nested,"Structure of 'values' array: names and types of elements (timestamp, value, type, quality?)?",Needed to choose columns or JSON cell,,High,
Authentication,What is token lifetime and refresh strategy? Can we get a permanent token with no expiry?,Affects caching and refresh logic,"e.g. access_token expires 15m, refresh_token 30d, Never expires",High,
Authentication,"Where is the Keycloak instance running (hostname, realm, client) and how to obtain client credentials? (client id / secret)",Needed to request JWTs and configure automated pulls,"e.g. auth.example.com, realm: vems, client_id: southeatern, client_secret: <secret>",High,
Authentication,"Are there audience/claim requirements in JWTs (scope, roles, issuer)?","If server validates specific claims, need to craft requests accordingly","Require 'aud': 'dms-api', scope: 'dms.read'",High,
Authentication,What grant types are allowed for machine-to-machine access?,Impacts implementation (client_credentials vs. auth code),Recommend client_credentials for service,High,
Authentication - Access,Which endpoints require elevated roles (dms_admin) vs standard (dms_user)?,Plan least-privilege service token,,High,
Change Tracking,Are there 'modified' or 'created' fields for results to incremental-pull instead of full snapshot?,Enables incremental sync,,High,
Consistency & Dupes,Can the same result be returned multiple times across different queries/polls?,Need dedupe logic (id + timestamp),,Med,
Contracts,Is there a formal API contract (machine-readable) delivered and maintained (OpenAPI hosted)?,Helps codegen and CI checks,,High,
CSV Columns,"If we hardcode CSV headers, confirm canonical column list per component_category (e.g., GuideTyre): which fields are required?","Can we hardcode headers, can we get canonical list",,High,
Data Quality,"Are there quality/flag fields in results (e.g. status, confidence) and allowed ranges?",Important for filtering/alerts,,High,
Data Volume,"How many images are taken for the measurements?","Typical total size of images taken per train pass (MBytes / GBytes)",,High,
Data Volume,Expected data rates per subsystem (results/sec),Typical payload size impacts storage and processing,,High,
Encoding,Character encoding for CSV and JSON (UTF-8 expected?),Avoid importing and encoding problems,,High,
Error Handling,"Are transient errors retryable, and which HTTP codes indicate retry vs fail if any?","Help to implement robust retry/backoff. Help to implement retry strategy that avoids hammering the API, handles transient failures, respects server signals, and prevents synchronized retry storms.","E.g. retry only on transient errors: 429, 502, 503, 504, timeout/network glitches. Do NOT retry 4xx client errors (400,401,403,404) except 429. if Retry-After header present, wait that long (seconds or HTTP-date). ",High,
Events / Alerts,Are alerts delivered to /alerts endpoint or are those POST-only for ingestion?,OpenAPI shows /alerts POST - need direction/usage. Is there a GET endpoint?,,High,
Events / Alerts,"Define 'events', 'alerts', 'notifications': semantics, relationships, lifecycle, retention?",We need to map these with our business logic and business events / alerts / notifications,,High,
Events / Alerts,Do alerts reference result ids or pass ids? Field mapping required.,To correlate alerts with measurements,,High,
Examples,Provide full example payloads for /results/timeseries/search request and response including values/details arrays that are not there in the spec already,We need exact JSON / CVS to validate client,,High,
Field Types,"Exact types and nullable behavior for each top-level 'result' field (string,int,float,bool,array)",Needed for CSV typing and nullable handling,,High,
IDs & Keys,Are ids stable unique ids across time (id vs component_id vs pass_pass_id)?,To use as primary keys when merging datasets,,High,
Pagination,What semantics for limit/offset vs cursor? Are there max limits and defaults?,OpenAPI mentions limit/offset but no defaults/max,,High,
Rate Limits,"Are there any API rate limits, soft/hard quotas, or burst rules?",Important for scheduler/backoff and retries,,High,
Response Shape,For 'results' items: confirm full set of top-level keys (id/component_id/component_category/values/details/etc.),Needed to flatten to CSV columns,,High,
Response Shape,Canonical example response for /results/timeseries/search (full schema + types)?,We have examples but need authoritative sample for all fields,,High,
Retention,How long are results and alerts retained on the DMS? Can retention be configured per-site?,Storage planning and re-pull window,,High,
Schema Completeness,Some OpenAPI 'content' objects are elided (�) � provide full schemas or examples for those endpoints?,Many endpoints lack inline examples,,High,
Schemas Missing,Many schema fragments are '�' �  request complete component schemas for result DTOs,Needed for code-gen,,High,
Search DSL / semantics,"Are term searches case sensitive? Are string matches exact, wildcarded or tokenized?",Affects filter design and expected results,e.g. 'GuideTyre' vs 'guidetyre',High,
Search DSL / semantics,What are valid field names for component_queries and is it strictly arrays of strings or objects allowed?,We need to build query builder to match expected input,"Example: component_queries: { component_category: [""GuideTyre""] }",High,
Search DSL / semantics,Provide full grammar/semantics for SearchFilterDTO (and meaning of and/or/not/is_null/contains/range/term). Which operators are supported per-field?,Search DSL is underspecified in docs; needed for correct queries,Examples for nested fields and arrays,High,
Search semantics,What's the maximum for 'limit'? OpenAPI mentions 500?,Avoid accidental large / invalid requests,,High,
Search semantics,"Exact semantics for 'query': supported operators (term, range, and/or/not, contains, is_null)?",OpenAPI lists many but behavior needs examples,,High,
Search semantics,What fields are searchable in timeseries/search and which are indexed for range vs term?,Important to craft performant queries,,High,
Security,Are tokens scoped to site/subsystem (multi-tenant) or global? Explain scoping model.,Impacts how token is restricted and which data it can access.,e.g. scope=site:123:results.read,High,
Support,Contact and SLA for API issues and request for schema fixes/clarifications?,Vendor support?  Point of contacts?,,High,
Testing & Sandbox,Do you provide a sandbox or test credentials and sample dataset for integration tests?,We currently have no access - need to plan integration,,High,
Throttled Fields,"Which fields are expensive on server side (total=true, deep nested includes)? Mark them to avoid frequent calls.",Performance,,High,
Timestamps,Are timestamps milliseconds since epoch (UTC) and is timezone consistent?,OpenAPI uses milliseconds but confirm and request timezone policy,,High,Just need confirmation / further clarification of what is stated in the spec
